

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.003  000.003: --- NVIM STARTING ---
000.317  000.314: locale set
000.556  000.240: inits 1
000.564  000.008: window checked
000.566  000.001: parsing arguments
001.919  001.353: expanding arguments
001.943  000.025: inits 2
002.241  000.298: init highlight
002.242  000.001: waiting for UI
003.323  001.081: done waiting for UI
003.336  000.013: init screen for UI
003.348  000.012: init default mappings
003.371  000.023: init default autocommands
003.667  000.041  000.041: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin.vim
003.728  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/indent.vim
004.951  001.071  001.071: sourcing /Users/mater/.config/nvim/autoload/plug.vim
012.568  000.006  000.006: sourcing /Users/mater/.vim/plugged/vim-polyglot/filetype.vim
015.991  000.007  000.007: sourcing /Users/mater/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
016.056  000.009  000.009: sourcing /Users/mater/.vim/plugged/ultisnips/ftdetect/snippets.vim
016.130  000.007  000.007: sourcing /Users/mater/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
016.304  000.022  000.022: sourcing /Users/mater/.vim/plugged/vim-markdown/ftdetect/markdown.vim
016.665  003.985  003.940: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.vim
016.780  000.007  000.007: sourcing /Users/mater/.vim/plugged/vim-fugitive/ftdetect/fugitive.vim
016.839  000.007  000.007: sourcing /Users/mater/.vim/plugged/ultisnips/ftdetect/snippets.vim
016.900  000.005  000.005: sourcing /Users/mater/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
017.058  000.020  000.020: sourcing /Users/mater/.vim/plugged/vim-markdown/ftdetect/markdown.vim
023.994  011.671  007.641: sourcing /Users/mater/.vim/plugged/vim-polyglot/autoload/polyglot/init.vim
024.005  011.788  000.117: sourcing /Users/mater/.vim/plugged/vim-polyglot/filetype.vim
024.233  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.lua
024.266  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.vim
